game_number,120,150,180,210,240,300,label_code,label,predicted_limit,predicted_direction,correct
63,0.058630328005328004,0.24978392586945217,0.39184583691162633,0.20785172795041218,0.09188818126318127,0.0,4,210,180,Under,False
64,0.02994047619047619,0.20358724608724604,0.3009333721833722,0.37315705128205134,0.06845328282828284,0.023928571428571428,1,120,210,Under,True
65,0.04964285714285714,0.19473394660894658,0.3589056082806082,0.3073922605172605,0.08682532745032745,0.0025,3,180,210,Under,True
66,0.05167748917748917,0.1644761488511488,0.349232017982018,0.35784645909645907,0.06819645632145631,0.008571428571428572,4,210,210,Under,True
67,0.12464917027417026,0.25687160062160064,0.37052849927849923,0.1833977827727828,0.0533426295926296,0.011210317460317459,3,180,180,Under,True
68,0.02111111111111111,0.2726885614385614,0.3222409534909534,0.2930787268287268,0.07421398046398046,0.016666666666666666,3,180,210,Under,True
69,0.06202380952380952,0.09860389610389611,0.3374690587190587,0.35729374791874785,0.13697059884559884,0.007638888888888888,4,210,210,Under,True
70,0.03018037518037518,0.11803985230455818,0.5209279241999829,0.1979669595110772,0.11181346023257788,0.02107142857142857,4,210,180,Under,False
71,0.02232142857142857,0.20923028360528356,0.2813638444888445,0.32284743034743035,0.1600703463203463,0.004166666666666667,3,180,210,Under,True
72,0.17136634199134199,0.2649323593073593,0.31400883838383836,0.1855357142857143,0.03176587301587301,0.03239087301587302,3,180,180,Under,True
73,0.08096438283938286,0.22286678599178603,0.26641115828615825,0.33938610001110014,0.07832611832611834,0.012045454545454545,4,210,210,Under,True
74,0.03981331168831169,0.26356358918858924,0.36737769175269175,0.2560960567210567,0.06064935064935064,0.0125,4,210,180,Under,False
75,0.02369227994227994,0.19316468253968255,0.4981553862803862,0.1095953352203352,0.1664637445887446,0.008928571428571428,3,180,180,Under,True
76,0.016874999999999998,0.11623015873015871,0.15425595238095238,0.2973854617604617,0.35224747474747475,0.06300595238095238,3,180,180,Over,False
77,0.1239835042408572,0.22192129357570534,0.36981502157972745,0.24650006855889214,0.03420868347338935,0.0035714285714285713,3,180,180,Under,True
78,0.07369588744588745,0.3900100348997408,0.23103546780017367,0.2519176452632335,0.04132173382173382,0.01201923076923077,3,180,180,Under,True
79,0.07134858197358199,0.32226585914085915,0.31011093073593066,0.18346500721500722,0.107761544011544,0.005048076923076923,3,180,180,Under,True
80,0.04975198412698413,0.08885690698190699,0.22484286546786544,0.4665051615051615,0.13485826673326676,0.035184815184815185,2,150,180,Over,False
81,0.030244360902255636,0.20661120312436104,0.22603583916083916,0.41086075474233363,0.0927721072786862,0.033475734791524256,2,150,210,Under,True
82,0.03571428571428571,0.18005952380952378,0.42162379287379287,0.2689065101565101,0.0916125541125541,0.0020833333333333333,3,180,210,Under,True
83,0.04896915584415584,0.18575487012987016,0.3368470418470418,0.2642306998556998,0.14792839105339106,0.016269841269841268,3,180,210,Under,True
